import time: self [us] | cumulative | imported package
import time:      1022 |       1022 |                                     torch.utils.collect_env
import time:       689 |        689 |                                             cmd
import time:       779 |        779 |                                             bdb
import time:       627 |        627 |                                               codeop
import time:       685 |       1311 |                                             code
import time:       729 |        729 |                                             pprint
import time:      1055 |       4562 |                                           pdb
import time:       704 |        704 |                                             torch.utils._typing_utils
import time:       571 |        571 |                                                 torch.distributed.logging_handlers
import time:       759 |       1329 |                                               torch.distributed.c10d_logger
import time:       518 |        518 |                                               torch.distributed.constants
import time:       697 |        697 |                                               torch.distributed.rendezvous
import time:      2069 |       4612 |                                             torch.distributed.distributed_c10d
import time:      1679 |       6994 |                                           torch.distributed.device_mesh
import time:       758 |        758 |                                           torch.distributed.remote_device
import time:      3197 |      15509 |                                         torch.distributed
import time:       711 |        711 |                                                         torch.utils.data.datapipes._hook_iterator
import time:      1136 |       1847 |                                                       torch.utils.data.datapipes._typing
import time:       441 |        441 |                                                         torch.utils._import_utils
import time:       593 |        593 |                                                           torch.utils.data.datapipes.utils
import time:      1176 |       1768 |                                                         torch.utils.data.datapipes.utils.common
import time:      1117 |       1117 |                                                         torch.utils.data.dataset
import time:       982 |       4307 |                                                       torch.utils.data.datapipes.datapipe
import time:       579 |       6732 |                                                     torch.utils.data.datapipes._decorator
import time:       506 |        506 |                                                       torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       667 |       1173 |                                                     torch.utils.data.datapipes.dataframe.structures
import time:      1039 |       8943 |                                                   torch.utils.data.datapipes.dataframe.dataframes
import time:       802 |        802 |                                                   torch.utils.data.datapipes.dataframe.datapipes
import time:       672 |      10416 |                                                 torch.utils.data.datapipes.dataframe
import time:      1022 |       1022 |                                                         torch.utils.data._utils.collate
import time:       655 |        655 |                                                         torch.utils.data._utils.fetch
import time:       525 |        525 |                                                         torch.utils.data._utils.pin_memory
import time:       482 |        482 |                                                         torch.utils.data._utils.signal_handling
import time:      1584 |       1584 |                                                         torch.utils.data._utils.worker
